description,unspsc_code
Supply of 100m copper wire roll,26121505
"Procurement request: Interior wall paint white, 2 pcs",31211504
"Procurement request: Fresh white eggs, 10 pcs",50131705
"Invoice: Steamed white rice, qty 10",50201700
Line item: Carton of eggs,50131705
Line item: Matte white emulsion 5L,31211504
Line item: Red Washington apples 1kg,50192101
Order of Bag of green apples,50192101
Line item: Fresh white eggs,50131705
"Procurement request: Fresh ripe bananas, 2 pcs",50192102
"Procurement request: White latex paint, 1 pcs",31211504
Order of Office laptop 512GB SSD,43211503
Supply of Red Washington apples 1kg,50192101
Purchased: Office laptop 512GB SSD - 1 units,43211503
"Invoice: Organic apples pack, qty 1",50192101
Purchased: Fresh ripe bananas - 10 units,50192102
Supply of Panel made of concrete,30111504
Shipment: 1 x Loose apples (kg),50192101
Construction steel rods for site delivery,30102307
Order of Basmati rice 2kg,50201700
Requisition for White jasmine rice,50201700
Order of Loose apples (kg),50192101
Supply of Banana bunch large,50192102
Supply of 12-pack eggs,50131705
Purchased: Laptop with 16GB RAM - 25 units,43211503
Order of Dozen large eggs,50131705
Acquired 25 units of Heavy concrete board,30111504
Order of 12-pack eggs,50131705
Line item: Dual-band WiFi 6 router,43222609
Acquired 2 units of Fresh white eggs,50131705
Acquired 12 units of Broadband router,43222609
"Procurement request: 10mm rebar, 10 pcs",30102307
Requisition for Mild steel bars,30102307
Supply of Organic hen eggs,50131705
Requisition for Carton of eggs,50131705
Line item: Basmati rice 2kg,50201700
"Procurement request: 10mm rebar, 25 pcs",30102307
Acquired 50 units of Fresh white eggs,50131705
"Procurement request: Steel rebars 10mm, 12 pcs",30102307
"Procurement request: Mild steel bars, 12 pcs",30102307
"Invoice: Mild steel bars, qty 50",30102307
White latex paint for site delivery,31211504
Acquired 12 units of Basmati rice 2kg,50201700
Loose apples (kg) for site delivery,50192101
Acquired 25 units of Bag of green apples,50192101
"Procurement request: Construction steel rods, 10 pcs",30102307
"Procurement request: Banana bunch large, 12 pcs",50192102
Requisition for Steamed white rice,50201700
Requisition for Concrete wall unit,30111504
Shipment: 2 x Cavendish bananas 1kg,50192102
Acquired 50 units of Matte white emulsion 5L,31211504
"Invoice: Organic bananas, qty 1",50192102
Requisition for Laptop with 16GB RAM,43211503
Wall coating matte white for site delivery,31211504
Order of Matte white emulsion 5L,31211504
"Purchased: 14"" business notebook - 2 units",43211503
Supply of Fresh ripe bananas,50192102
"Procurement request: Organic bananas, 25 pcs",50192102
Line item: Basmati rice 2kg,50201700
"Procurement request: Office network router, 2 pcs",43222609
Line item: Office laptop 512GB SSD,43211503
Line item: Carton of eggs,50131705
Shipment: 5 x Dozen large eggs,50131705
Supply of Dual-band WiFi 6 router,43222609
Acquired 50 units of Fresh white eggs,50131705
Line item: Organic bananas,50192102
Order of Office network router,43222609
Organic apples pack for site delivery,50192101
Pro business laptop for site delivery,43211503
Shipment: 10 x Matte white emulsion 5L,31211504
Line item: Wireless internet router,43222609
Supply of Bag of green apples,50192101
Line item: 12-pack eggs,50131705
"Invoice: Fresh ripe bananas, qty 12",50192102
Shipment: 1 x Loose apples (kg),50192101
Shipment: 5 x Electric cable insulated,26121505
Acquired 25 units of Heavy concrete board,30111504
Line item: Bag of green apples,50192101
"Invoice: Flexible wire 1.5mm, qty 10",26121505
Order of Laptop with 16GB RAM,43211503
Requisition for Concrete wall unit,30111504
Purchased: Steel rebars 10mm - 10 units,30102307
Order of 12-pack eggs,50131705
Order of Reinforcement bar bundle,30102307
"Procurement request: Construction steel rods, 50 pcs",30102307
Purchased: Heavy concrete board - 25 units,30111504
Dozen large eggs for site delivery,50131705
Line item: Construction steel rods,30102307
Shipment: 5 x Organic apples pack,50192101
Acquired 25 units of Basmati rice 2kg,50201700
Gigabit router for site delivery,43222609
Supply of Dozen large eggs,50131705
Flexible wire 1.5mm for site delivery,26121505
"Procurement request: Banana bunch large, 10 pcs",50192102
Purchased: Steamed white rice - 2 units,50201700
"Invoice: Fresh ripe bananas, qty 1",50192102
Purchased: Wall panel concrete 1x2m - 10 units,30111504
Acquired 5 units of Single core copper cable,26121505
"Invoice: Dozen large eggs, qty 12",50131705
Acquired 1 units of Basmati rice 2kg,50201700
"Invoice: Interior wall paint white, qty 5",31211504
Order of Reinforcement bar bundle,30102307
Order of Loose apples (kg),50192101
Line item: Single core copper cable,26121505
"Invoice: Bag of green apples, qty 5",50192101
Purchased: White latex paint - 2 units,31211504
Shipment: 2 x Fresh white eggs,50131705
Requisition for Cavendish bananas 1kg,50192102
"Invoice: 100m copper wire roll, qty 25",26121505
"Invoice: Mild steel bars, qty 50",30102307
Acquired 1 units of Organic bananas,50192102
Purchased: Wall panel concrete 1x2m - 25 units,30111504
Purchased: Rice 5kg bag - 50 units,50201700
Order of Office laptop 512GB SSD,43211503
"Procurement request: Basmati rice 2kg, 50 pcs",50201700
Purchased: Basmati rice 2kg - 25 units,50201700
Shipment: 12 x Office network router,43222609
Shipment: 12 x Interior wall paint white,31211504
"Invoice: Flexible wire 1.5mm, qty 2",26121505
Supply of Panel made of concrete,30111504
Line item: Organic bananas,50192102
Acquired 1 units of Basmati rice 2kg,50201700
"Procurement request: Steel rebars 10mm, 5 pcs",30102307
Shipment: 25 x Rice 5kg bag,50201700
Acquired 12 units of Broadband router,43222609
Shipment: 12 x Broadband router,43222609
Line item: Fresh white eggs,50131705
Line item: House wiring cable,26121505
Shipment: 5 x Wall panel concrete 1x2m,30111504
"Procurement request: Organic bananas, 12 pcs",50192102
House wiring cable for site delivery,26121505
Supply of Workstation laptop,43211503
"Procurement request: Electric cable insulated, 5 pcs",26121505
Purchased: Wall coating matte white - 5 units,31211504
"Procurement request: Laptop with 16GB RAM, 12 pcs",43211503
Supply of Rice 5kg bag,50201700
Line item: Long grain white rice,50201700
Purchased: 10mm rebar - 25 units,30102307
Acquired 5 units of Gigabit router,43222609
Line item: White latex paint,31211504
Supply of Steel rebars 10mm,30102307
Line item: Interior wall paint white,31211504
Shipment: 5 x Wireless internet router,43222609
Shipment: 25 x White latex paint,31211504
Shipment: 12 x Pro business laptop,43211503
Supply of Wireless internet router,43222609
Banana bunch large for site delivery,50192102
Order of Flexible wire 1.5mm,26121505
Shipment: 10 x 5 litre matte paint,31211504
Supply of House wiring cable,26121505
Purchased: Heavy concrete board - 5 units,30111504
Shipment: 12 x Organic apples pack,50192101
Requisition for Organic bananas,50192102
"Invoice: Dual-band WiFi 6 router, qty 2",43222609
Order of Banana bunch large,50192102
Banana bunch large for site delivery,50192102
"Invoice: Single core copper cable, qty 50",26121505
Purchased: Organic bananas - 1 units,50192102
Order of Precast concrete slab,30111504
Supply of Gigabit router,43222609
Purchased: Long grain white rice - 2 units,50201700
Line item: Panel made of concrete,30111504
"Procurement request: Pro business laptop, 50 pcs",43211503
Order of Interior wall paint white,31211504
Purchased: Concrete wall unit - 2 units,30111504
Acquired 12 units of Long grain white rice,50201700
Fresh gala apples for site delivery,50192101
Shipment: 1 x Concrete wall unit,30111504
Requisition for Cavendish bananas 1kg,50192102
Line item: White latex paint,31211504
Supply of Construction steel rods,30102307
Supply of Fresh gala apples,50192101
Requisition for Panel made of concrete,30111504
Interior wall paint white for site delivery,31211504
Shipment: 10 x Organic bananas,50192102
Line item: Reinforcement bar bundle,30102307
Acquired 50 units of Basmati rice 2kg,50201700
Shipment: 10 x Laptop with 16GB RAM,43211503
"Procurement request: Single core copper cable, 1 pcs",26121505
Line item: Carton of eggs,50131705
Purchased: Carton of eggs - 5 units,50131705
Line item: Steel rebars 10mm,30102307
Requisition for Long grain white rice,50201700
"Procurement request: 5 litre matte paint, 10 pcs",31211504
Supply of Laptop with 16GB RAM,43211503
Shipment: 1 x Steamed white rice,50201700
Wall panel concrete 1x2m for site delivery,30111504
Line item: Organic apples pack,50192101
Order of Office network router,43222609
Requisition for White jasmine rice,50201700
"Procurement request: Rice 5kg bag, 2 pcs",50201700
Supply of Workstation laptop,43211503
Purchased: Construction steel rods - 50 units,30102307
Line item: Panel made of concrete,30111504
Requisition for Matte white emulsion 5L,31211504
Fresh gala apples for site delivery,50192101
Line item: Steel rebars 10mm,30102307
Supply of 100m copper wire roll,26121505
Shipment: 2 x Single core copper cable,26121505
Requisition for Laptop with 16GB RAM,43211503
Requisition for Construction steel rods,30102307
Mild steel bars for site delivery,30102307
Order of Yellow bananas,50192102
Acquired 10 units of 10mm rebar,30102307
Purchased: Long grain white rice - 1 units,50201700
Wall coating matte white for site delivery,31211504
"Invoice: Banana bunch large, qty 12",50192102
Acquired 50 units of Organic bananas,50192102
"Invoice: Wireless internet router, qty 12",43222609
Order of Construction steel rods,30102307
Acquired 50 units of 10mm rebar,30102307
Acquired 1 units of Loose apples (kg),50192101
"Invoice: Long grain white rice, qty 1",50201700
"Invoice: 12-pack eggs, qty 2",50131705
Line item: Concrete wall unit,30111504
Purchased: Office laptop 512GB SSD - 10 units,43211503
Purchased: Steel rebars 10mm - 2 units,30102307
Precast concrete slab for site delivery,30111504
Supply of Steel rebars 10mm,30102307
Requisition for Flexible wire 1.5mm,26121505
Acquired 10 units of Flexible wire 1.5mm,26121505
Line item: Single core copper cable,26121505
Acquired 10 units of Rice 5kg bag,50201700
Shipment: 2 x Mild steel bars,30102307
Fresh gala apples for site delivery,50192101
Broadband router for site delivery,43222609
Requisition for White jasmine rice,50201700
"Procurement request: Dual-band WiFi 6 router, 10 pcs",43222609
Purchased: Matte white emulsion 5L - 10 units,31211504
Line item: Reinforcement bar bundle,30102307
Requisition for 10mm rebar,30102307
Purchased: Steel rebars 10mm - 10 units,30102307
Requisition for Office laptop 512GB SSD,43211503
Purchased: Organic hen eggs - 10 units,50131705
Order of Reinforcement bar bundle,30102307
Supply of Steel rebars 10mm,30102307
Shipment: 10 x Bag of green apples,50192101
Line item: Basmati rice 2kg,50201700
Acquired 10 units of Gigabit router,43222609
Organic apples pack for site delivery,50192101
Supply of Wireless internet router,43222609
Steel rebars 10mm for site delivery,30102307
Order of Single core copper cable,26121505
Acquired 5 units of Electric cable insulated,26121505
Requisition for Organic apples pack,50192101
"Procurement request: Heavy concrete board, 12 pcs",30111504
"Procurement request: Broadband router, 1 pcs",43222609
House wiring cable for site delivery,26121505
Acquired 1 units of Fresh white eggs,50131705
Acquired 1 units of House wiring cable,26121505
"Procurement request: Reinforcement bar bundle, 25 pcs",30102307
"Invoice: Organic hen eggs, qty 2",50131705
Line item: Matte white emulsion 5L,31211504
Purchased: Office laptop 512GB SSD - 1 units,43211503
Order of Bag of green apples,50192101
Line item: White latex paint,31211504
Requisition for Long grain white rice,50201700
Purchased: Concrete wall unit - 1 units,30111504
Order of Cavendish bananas 1kg,50192102
Purchased: Dozen large eggs - 10 units,50131705
Reinforcement bar bundle for site delivery,30102307
Line item: Organic hen eggs,50131705
Supply of Office network router,43222609
"Procurement request: House wiring cable, 25 pcs",26121505
"Invoice: Gigabit router, qty 25",43222609
Supply of Panel made of concrete,30111504
Purchased: Wall panel concrete 1x2m - 50 units,30111504
Shipment: 5 x Organic apples pack,50192101
Supply of Gigabit router,43222609
Line item: Basmati rice 2kg,50201700
"Invoice: 14"" business notebook, qty 12",43211503
Purchased: Interior wall paint white - 10 units,31211504
Acquired 12 units of Steel rebars 10mm,30102307
Requisition for Office network router,43222609
Supply of Concrete wall unit,30111504
Line item: Interior wall paint white,31211504
Order of Banana bunch large,50192102
"Invoice: White jasmine rice, qty 10",50201700
"Procurement request: Dozen large eggs, 5 pcs",50131705
Purchased: Banana bunch large - 10 units,50192102
Line item: Fresh white eggs,50131705
Purchased: White jasmine rice - 5 units,50201700
"Invoice: Wall coating matte white, qty 5",31211504
"Procurement request: Mild steel bars, 12 pcs",30102307
Basmati rice 2kg for site delivery,50201700
"Invoice: Fresh ripe bananas, qty 12",50192102
White jasmine rice for site delivery,50201700
Order of Steel rebars 10mm,30102307
"Invoice: Steel rebars 10mm, qty 5",30102307
Line item: Broadband router,43222609
Supply of Fresh gala apples,50192101
Line item: Fresh ripe bananas,50192102
Order of Loose apples (kg),50192101
Requisition for Interior wall paint white,31211504
Supply of Dozen large eggs,50131705
Acquired 1 units of Pro business laptop,43211503
"Invoice: Concrete wall unit, qty 1",30111504
Supply of Carton of eggs,50131705
Shipment: 12 x 100m copper wire roll,26121505
Order of 5 litre matte paint,31211504
Shipment: 50 x Wireless internet router,43222609
Acquired 5 units of Organic hen eggs,50131705
Requisition for Office laptop 512GB SSD,43211503
"Procurement request: 5 litre matte paint, 2 pcs",31211504
"Invoice: White latex paint, qty 25",31211504
Steel rebars 10mm for site delivery,30102307
"Invoice: Precast concrete slab, qty 1",30111504
"Invoice: 12-pack eggs, qty 25",50131705
"Procurement request: Banana bunch large, 25 pcs",50192102
Purchased: Gigabit router - 25 units,43222609
Requisition for Fresh white eggs,50131705
Supply of House wiring cable,26121505
Order of White latex paint,31211504
Purchased: Reinforcement bar bundle - 5 units,30102307
Order of Fresh ripe bananas,50192102
"Invoice: Office laptop 512GB SSD, qty 50",43211503
Requisition for Fresh white eggs,50131705
"Invoice: Office network router, qty 50",43222609
"Procurement request: Office network router, 50 pcs",43222609
Order of Wall panel concrete 1x2m,30111504
Requisition for 10mm rebar,30102307
"Invoice: Organic hen eggs, qty 1",50131705
Acquired 12 units of Construction steel rods,30102307
Purchased: Organic hen eggs - 25 units,50131705
Order of Reinforcement bar bundle,30102307
"Procurement request: Bag of green apples, 50 pcs",50192101
"Procurement request: Concrete wall unit, 1 pcs",30111504
Acquired 2 units of Organic bananas,50192102
"Procurement request: Interior wall paint white, 25 pcs",31211504
Acquired 10 units of Single core copper cable,26121505
Line item: House wiring cable,26121505
Order of White latex paint,31211504
Supply of Panel made of concrete,30111504
Supply of Dozen large eggs,50131705
Line item: Organic apples pack,50192101
Requisition for Organic bananas,50192102
Purchased: Panel made of concrete - 5 units,30111504
Shipment: 5 x Wall panel concrete 1x2m,30111504
"Purchased: 14"" business notebook - 25 units",43211503
Requisition for Concrete wall unit,30111504
Purchased: Loose apples (kg) - 1 units,50192101
Purchased: White latex paint - 10 units,31211504
Order of Organic apples pack,50192101
Acquired 10 units of Pro business laptop,43211503
Supply of Loose apples (kg),50192101
Shipment: 12 x Precast concrete slab,30111504
Acquired 5 units of Wall coating matte white,31211504
Requisition for Cavendish bananas 1kg,50192102
Acquired 25 units of Wireless internet router,43222609
Requisition for Matte white emulsion 5L,31211504
Shipment: 1 x Wireless internet router,43222609
Supply of Cavendish bananas 1kg,50192102
Requisition for Workstation laptop,43211503
"Invoice: Long grain white rice, qty 5",50201700
Supply of Banana bunch large,50192102
100m copper wire roll for site delivery,26121505
Purchased: Fresh ripe bananas - 1 units,50192102
Laptop with 16GB RAM for site delivery,43211503
Organic hen eggs for site delivery,50131705
Acquired 1 units of Flexible wire 1.5mm,26121505
Supply of Carton of eggs,50131705
Banana bunch large for site delivery,50192102
Purchased: Reinforcement bar bundle - 12 units,30102307
"Line item: 14"" business notebook",43211503
"Invoice: Fresh ripe bananas, qty 2",50192102
Acquired 50 units of Wireless internet router,43222609
Shipment: 50 x Electric cable insulated,26121505
"Procurement request: Dual-band WiFi 6 router, 50 pcs",43222609
White jasmine rice for site delivery,50201700
Purchased: Flexible wire 1.5mm - 2 units,26121505
Shipment: 50 x Wall coating matte white,31211504
Purchased: Precast concrete slab - 50 units,30111504
Shipment: 10 x Carton of eggs,50131705
Purchased: Broadband router - 1 units,43222609
Purchased: Organic apples pack - 1 units,50192101
Order of Concrete wall unit,30111504
Requisition for Broadband router,43222609
Shipment: 1 x Bag of green apples,50192101
Line item: Steel rebars 10mm,30102307
Line item: 100m copper wire roll,26121505
Acquired 12 units of Fresh white eggs,50131705
Line item: Dual-band WiFi 6 router,43222609
Purchased: Bag of green apples - 5 units,50192101
Supply of Flexible wire 1.5mm,26121505
Supply of Fresh ripe bananas,50192102
Requisition for 10mm rebar,30102307
Requisition for Workstation laptop,43211503
Single core copper cable for site delivery,26121505
Requisition for Workstation laptop,43211503
"Procurement request: Bag of green apples, 2 pcs",50192101
Acquired 12 units of Cavendish bananas 1kg,50192102
"Procurement request: Precast concrete slab, 1 pcs",30111504
"Procurement request: Banana bunch large, 5 pcs",50192102
Line item: Cavendish bananas 1kg,50192102
Purchased: Precast concrete slab - 1 units,30111504
Acquired 50 units of Workstation laptop,43211503
Acquired 12 units of 100m copper wire roll,26121505
Acquired 25 units of Single core copper cable,26121505
"Requisition for 14"" business notebook",43211503
Requisition for Bag of green apples,50192101
Order of Broadband router,43222609
Line item: Fresh ripe bananas,50192102
Order of Organic bananas,50192102
Acquired 1 units of Office network router,43222609
Line item: Laptop with 16GB RAM,43211503
"Procurement request: Matte white emulsion 5L, 2 pcs",31211504
Mild steel bars for site delivery,30102307
Purchased: Organic apples pack - 25 units,50192101
Acquired 2 units of Construction steel rods,30102307
Acquired 5 units of Basmati rice 2kg,50201700
Shipment: 12 x Wall panel concrete 1x2m,30111504
Requisition for Matte white emulsion 5L,31211504
Purchased: Heavy concrete board - 50 units,30111504
"Procurement request: Single core copper cable, 2 pcs",26121505
Requisition for Steamed white rice,50201700
Purchased: Workstation laptop - 12 units,43211503
Supply of Organic bananas,50192102
Order of Heavy concrete board,30111504
Purchased: Steamed white rice - 25 units,50201700
Line item: Laptop with 16GB RAM,43211503
Purchased: Precast concrete slab - 2 units,30111504
Purchased: Fresh gala apples - 25 units,50192101
Requisition for Red Washington apples 1kg,50192101
5 litre matte paint for site delivery,31211504
Fresh gala apples for site delivery,50192101
Organic apples pack for site delivery,50192101
"Invoice: White latex paint, qty 2",31211504
"Procurement request: Banana bunch large, 10 pcs",50192102
Supply of Steamed white rice,50201700
Purchased: Interior wall paint white - 10 units,31211504
Purchased: Wireless internet router - 10 units,43222609
Requisition for Organic hen eggs,50131705
"Requisition for 14"" business notebook",43211503
Order of Steel rebars 10mm,30102307
Supply of Carton of eggs,50131705
Supply of Basmati rice 2kg,50201700
"Invoice: Workstation laptop, qty 10",43211503
Acquired 1 units of Organic apples pack,50192101
"Procurement request: Heavy concrete board, 5 pcs",30111504
Purchased: White latex paint - 25 units,31211504
Requisition for Office laptop 512GB SSD,43211503
Purchased: Reinforcement bar bundle - 10 units,30102307
Purchased: Steel rebars 10mm - 25 units,30102307
Purchased: Fresh white eggs - 12 units,50131705
Electric cable insulated for site delivery,26121505
Supply of Gigabit router,43222609
Acquired 50 units of Banana bunch large,50192102
Order of Office laptop 512GB SSD,43211503
Purchased: Precast concrete slab - 5 units,30111504
Acquired 50 units of Laptop with 16GB RAM,43211503
Acquired 2 units of Panel made of concrete,30111504
Order of Carton of eggs,50131705
Acquired 10 units of Bag of green apples,50192101
Order of Concrete wall unit,30111504
Interior wall paint white for site delivery,31211504
Supply of Office laptop 512GB SSD,43211503
Purchased: Pro business laptop - 25 units,43211503
Line item: Steamed white rice,50201700
Requisition for Dual-band WiFi 6 router,43222609
Purchased: Wall panel concrete 1x2m - 5 units,30111504
"Procurement request: Bag of green apples, 10 pcs",50192101
"Procurement request: Wall coating matte white, 10 pcs",31211504
Acquired 1 units of White latex paint,31211504
Line item: Fresh ripe bananas,50192102
Order of White latex paint,31211504
Acquired 25 units of Fresh white eggs,50131705
Acquired 10 units of Fresh ripe bananas,50192102
Purchased: Construction steel rods - 2 units,30102307
Order of Dual-band WiFi 6 router,43222609
Requisition for Loose apples (kg),50192101
Shipment: 2 x Pro business laptop,43211503
Purchased: Banana bunch large - 12 units,50192102
Supply of Fresh ripe bananas,50192102
Purchased: Panel made of concrete - 1 units,30111504
Acquired 2 units of Organic hen eggs,50131705
Purchased: Organic apples pack - 50 units,50192101
Rice 5kg bag for site delivery,50201700
Purchased: House wiring cable - 12 units,26121505
"Requisition for 14"" business notebook",43211503
Shipment: 12 x Broadband router,43222609
Steel rebars 10mm for site delivery,30102307
Supply of Precast concrete slab,30111504
Purchased: Construction steel rods - 25 units,30102307
Purchased: Fresh gala apples - 50 units,50192101
"Invoice: Interior wall paint white, qty 5",31211504
Shipment: 2 x Dozen large eggs,50131705
Order of Wall panel concrete 1x2m,30111504
Supply of 5 litre matte paint,31211504
Long grain white rice for site delivery,50201700
Requisition for Reinforcement bar bundle,30102307
Order of 10mm rebar,30102307
Reinforcement bar bundle for site delivery,30102307
Construction steel rods for site delivery,30102307
Requisition for Basmati rice 2kg,50201700
Acquired 25 units of 10mm rebar,30102307
Line item: House wiring cable,26121505
"Invoice: Office network router, qty 50",43222609
Line item: Panel made of concrete,30111504
"Invoice: Fresh white eggs, qty 12",50131705
"Procurement request: Organic hen eggs, 5 pcs",50131705
Order of Wall panel concrete 1x2m,30111504
Requisition for Rice 5kg bag,50201700
Flexible wire 1.5mm for site delivery,26121505
"Invoice: Precast concrete slab, qty 1",30111504
Wall coating matte white for site delivery,31211504
Line item: Fresh white eggs,50131705
Acquired 2 units of Steel rebars 10mm,30102307
"Invoice: Electric cable insulated, qty 2",26121505
Line item: Loose apples (kg),50192101
Acquired 12 units of Cavendish bananas 1kg,50192102
Acquired 12 units of Banana bunch large,50192102
Supply of Banana bunch large,50192102
"Invoice: Electric cable insulated, qty 1",26121505
Purchased: White jasmine rice - 2 units,50201700
Acquired 2 units of Matte white emulsion 5L,31211504
Heavy concrete board for site delivery,30111504
"Procurement request: 100m copper wire roll, 10 pcs",26121505
"Procurement request: 10mm rebar, 1 pcs",30102307
Order of Red Washington apples 1kg,50192101
Red Washington apples 1kg for site delivery,50192101
Mild steel bars for site delivery,30102307
White latex paint for site delivery,31211504
Order of Single core copper cable,26121505
"Invoice: Precast concrete slab, qty 5",30111504
Office network router for site delivery,43222609
Supply of Single core copper cable,26121505
Acquired 50 units of Steel rebars 10mm,30102307
Line item: Mild steel bars,30102307
Shipment: 12 x Organic hen eggs,50131705
"Invoice: Cavendish bananas 1kg, qty 50",50192102
Line item: Pro business laptop,43211503
Requisition for Bag of green apples,50192101
Requisition for Loose apples (kg),50192101
Line item: Red Washington apples 1kg,50192101
Purchased: Bag of green apples - 10 units,50192101
Broadband router for site delivery,43222609
Acquired 2 units of Single core copper cable,26121505
Line item: White jasmine rice,50201700
"Invoice: White latex paint, qty 50",31211504
Purchased: Pro business laptop - 5 units,43211503
"Procurement request: Dual-band WiFi 6 router, 5 pcs",43222609
Requisition for Mild steel bars,30102307
Order of Loose apples (kg),50192101
Requisition for Dozen large eggs,50131705
Line item: White latex paint,31211504
Shipment: 12 x Panel made of concrete,30111504
Line item: Dual-band WiFi 6 router,43222609
"Invoice: Electric cable insulated, qty 1",26121505
Order of Bag of green apples,50192101
Acquired 1 units of Rice 5kg bag,50201700
Order of House wiring cable,26121505
Acquired 10 units of Laptop with 16GB RAM,43211503
Acquired 2 units of 12-pack eggs,50131705
Acquired 25 units of Long grain white rice,50201700
Supply of Organic bananas,50192102
"Invoice: Steel rebars 10mm, qty 25",30102307
Supply of Steamed white rice,50201700
Line item: Mild steel bars,30102307
Supply of Office laptop 512GB SSD,43211503
Requisition for Fresh gala apples,50192101
Acquired 10 units of 10mm rebar,30102307
Supply of Matte white emulsion 5L,31211504
"Shipment: 50 x 14"" business notebook",43211503
Supply of Organic apples pack,50192101
"Procurement request: Long grain white rice, 50 pcs",50201700
Order of Broadband router,43222609
"Procurement request: Long grain white rice, 5 pcs",50201700
Supply of Electric cable insulated,26121505
Shipment: 10 x Red Washington apples 1kg,50192101
Supply of Office laptop 512GB SSD,43211503
Line item: Pro business laptop,43211503
Order of House wiring cable,26121505
"Procurement request: Matte white emulsion 5L, 2 pcs",31211504
Acquired 2 units of House wiring cable,26121505
"Invoice: Workstation laptop, qty 10",43211503
"Procurement request: Precast concrete slab, 1 pcs",30111504
"Supply of 14"" business notebook",43211503
Purchased: Interior wall paint white - 50 units,31211504
Acquired 5 units of Wireless internet router,43222609
Concrete wall unit for site delivery,30111504
Interior wall paint white for site delivery,31211504
Shipment: 12 x Yellow bananas,50192102
Acquired 1 units of Dozen large eggs,50131705
Purchased: Wall panel concrete 1x2m - 12 units,30111504
Shipment: 2 x Cavendish bananas 1kg,50192102
"Procurement request: Reinforcement bar bundle, 2 pcs",30102307
Order of Organic apples pack,50192101
Line item: Fresh ripe bananas,50192102
"Procurement request: Flexible wire 1.5mm, 10 pcs",26121505
Acquired 50 units of Organic bananas,50192102
Acquired 1 units of Steamed white rice,50201700
Purchased: Fresh gala apples - 50 units,50192101
Line item: Red Washington apples 1kg,50192101
Office network router for site delivery,43222609
Acquired 1 units of Mild steel bars,30102307
"Procurement request: White latex paint, 10 pcs",31211504
Supply of Organic hen eggs,50131705
Requisition for Precast concrete slab,30111504
Requisition for Wall panel concrete 1x2m,30111504
"Invoice: Concrete wall unit, qty 1",30111504
Line item: Banana bunch large,50192102
Line item: Yellow bananas,50192102
Supply of Yellow bananas,50192102
Acquired 10 units of White latex paint,31211504
Line item: Dual-band WiFi 6 router,43222609
"Invoice: Long grain white rice, qty 50",50201700
Line item: Construction steel rods,30102307
Electric cable insulated for site delivery,26121505
"Procurement request: Organic hen eggs, 5 pcs",50131705
Basmati rice 2kg for site delivery,50201700
"Invoice: Bag of green apples, qty 12",50192101
Order of Flexible wire 1.5mm,26121505
"Procurement request: Dual-band WiFi 6 router, 2 pcs",43222609
Requisition for Fresh white eggs,50131705
Loose apples (kg) for site delivery,50192101
Order of Reinforcement bar bundle,30102307
Acquired 2 units of Matte white emulsion 5L,31211504
Requisition for Office network router,43222609
Requisition for Fresh ripe bananas,50192102
"Procurement request: Dozen large eggs, 25 pcs",50131705
"Invoice: Matte white emulsion 5L, qty 50",31211504
"Procurement request: 5 litre matte paint, 5 pcs",31211504
Acquired 12 units of Organic apples pack,50192101
Line item: Reinforcement bar bundle,30102307
Requisition for Fresh white eggs,50131705
Line item: Electric cable insulated,26121505
Supply of Single core copper cable,26121505
Purchased: Red Washington apples 1kg - 5 units,50192101
Acquired 10 units of 100m copper wire roll,26121505
Supply of 5 litre matte paint,31211504
Acquired 2 units of Carton of eggs,50131705
Purchased: Basmati rice 2kg - 2 units,50201700
Gigabit router for site delivery,43222609
Shipment: 25 x Banana bunch large,50192102
Order of Loose apples (kg),50192101
Line item: Gigabit router,43222609
Supply of Banana bunch large,50192102
Shipment: 5 x Steel rebars 10mm,30102307
Requisition for Wall panel concrete 1x2m,30111504
Line item: Panel made of concrete,30111504
Line item: Steamed white rice,50201700
Acquired 25 units of Rice 5kg bag,50201700
Shipment: 1 x Panel made of concrete,30111504
"Invoice: Single core copper cable, qty 12",26121505
Requisition for Gigabit router,43222609
"Invoice: Wall panel concrete 1x2m, qty 5",30111504
Supply of Precast concrete slab,30111504
Line item: Single core copper cable,26121505
Purchased: Interior wall paint white - 1 units,31211504
Supply of Construction steel rods,30102307
Requisition for Reinforcement bar bundle,30102307
Requisition for 100m copper wire roll,26121505
Shipment: 2 x Loose apples (kg),50192101
Shipment: 50 x Basmati rice 2kg,50201700
Shipment: 2 x Basmati rice 2kg,50201700
Acquired 25 units of 5 litre matte paint,31211504
Line item: Wall coating matte white,31211504
"Procurement request: Gigabit router, 25 pcs",43222609
"Invoice: Wall coating matte white, qty 25",31211504
Supply of 100m copper wire roll,26121505
Requisition for Bag of green apples,50192101
Line item: Cavendish bananas 1kg,50192102
Order of Rice 5kg bag,50201700
Line item: Reinforcement bar bundle,30102307
"Invoice: Gigabit router, qty 10",43222609
"Acquired 10 units of 14"" business notebook",43211503
"Procurement request: Heavy concrete board, 10 pcs",30111504
Order of Cavendish bananas 1kg,50192102
Fresh white eggs for site delivery,50131705
Acquired 5 units of Construction steel rods,30102307
Concrete wall unit for site delivery,30111504
Requisition for 5 litre matte paint,31211504
Line item: Construction steel rods,30102307
Supply of Pro business laptop,43211503
"Invoice: Red Washington apples 1kg, qty 10",50192101
Order of Matte white emulsion 5L,31211504
Line item: Flexible wire 1.5mm,26121505
Order of Basmati rice 2kg,50201700
